grid_code,latitude,longitude,height,coordinate_system,notes
CS021E01,37.23407268,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS021E02,37.23407268,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS021E03,37.23407268,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS021E04,37.23407268,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS021E05,37.23407268,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS021E06,37.23407268,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E01,37.23407717,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E02,37.23407717,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E03,37.23407717,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E04,37.23407717,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E05,37.23407717,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS020E06,37.23407717,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E01,37.23408166,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E02,37.23408166,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E03,37.23408166,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E04,37.23408166,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E05,37.23408166,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS019E06,37.23408166,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E01,37.23408615,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E02,37.23408615,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E03,37.23408615,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E04,37.23408615,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E05,37.23408615,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS018E06,37.23408615,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E01,37.23409064,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E02,37.23409064,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E03,37.23409064,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E04,37.23409064,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E05,37.23409064,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS017E06,37.23409064,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E01,37.23409513,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E02,37.23409513,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E03,37.23409513,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E04,37.23409513,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E05,37.23409513,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS016E06,37.23409513,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E01,37.23409963,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E02,37.23409963,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E03,37.23409963,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E04,37.23409963,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E05,37.23409963,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS015E06,37.23409963,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E01,37.23410412,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E02,37.23410412,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E03,37.23410412,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E04,37.23410412,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E05,37.23410412,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS014E06,37.23410412,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E01,37.23410861,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E02,37.23410861,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E03,37.23410861,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E04,37.23410861,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E05,37.23410861,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS013E06,37.23410861,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E01,37.2341131,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E02,37.2341131,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E03,37.2341131,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E04,37.2341131,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E05,37.2341131,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS012E06,37.2341131,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E01,37.23411759,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E02,37.23411759,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E03,37.23411759,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E04,37.23411759,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E05,37.23411759,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E06,37.23411759,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E01,37.23412208,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E02,37.23412208,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E03,37.23412208,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E04,37.23412208,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E05,37.23412208,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E06,37.23412208,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E01,37.23412658,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E02,37.23412658,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E03,37.23412658,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E04,37.23412658,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E05,37.23412658,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E06,37.23412658,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E01,37.23413107,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E02,37.23413107,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E03,37.23413107,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E04,37.23413107,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E05,37.23413107,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E06,37.23413107,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E01,37.23413556,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E02,37.23413556,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E03,37.23413556,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E04,37.23413556,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E05,37.23413556,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E06,37.23413556,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E01,37.23414005,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E02,37.23414005,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E03,37.23414005,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
